order number,date,meat,cheese,sides,toppings,sauce
13-18,2024-04-13,"Brisket, Pulled Pork","Cheddar, Pepper Jack",NA,"Mushrooms, Parmesan, Breadcrumbs, Broccoli, Corn, Tomatoes",BBQ
13-17,2024-04-13,Brisket,"Cheddar, Alfredo","Cheesy Broccoli, Cheesy Garlic Bread","Mushrooms, Jalapenos, Breadcrumbs, Corn, Tomatoes",BBQ
13-22,2024-04-13,Brisket,Cheddar,NA,NA,BBQ
13-21,2024-04-13,NA,Cheddar,NA,NA,NA
13-23,2024-04-13,"Bacon, Brisket, Pulled Pork",Alfredo,NA,"Parmesan, Mushrooms, Breadcrumbs",Garlic Parmesan
13-25,2024-04-13,"Bacon, Grilled Chicken, Brisket","Cheddar, Alfredo",NA,"Parmesan, Jalapenos, Breadcrumbs",Garlic Parmesan
13-27,2024-04-13,Brisket,Cheddar,NA,"Bell Peppers, Parmesan, Corn",BBQ
13-28,2024-04-13,Pulled Pork,Pepper Jack,NA,"Mushrooms, Parmesan, Breadcrumbs, Bell Peppers, Tomatoes",Garlic Parmesan
13-29,2024-04-13,Brisket,Cheddar,Garlic Bread,"Broccoli, Parmesan, Breadcrumbs","Hot Honey, BBQ"
13-30,2024-04-13,Bacon,Cheddar,NA,Breadcrumbs,NA
13-32,2024-04-13,"Brisket, Grilled Chicken","Cheddar, Pepper Jack","Garlic Bread, Cheesy Garlic Bread","Mushrooms, Jalapenos, Breadcrumbs","Ranch, BBQ"
13-35,2024-04-13,Grilled Chicken,Cheddar,Garlic Bread,NA,NA
13-34,2024-04-13,Brisket,Cheddar,NA,Breadcrumbs,NA
13-37,2024-04-13,NA,NA,Cheesecake,NA,NA
13-40,2024-04-13,NA,Cheddar,NA,"Mushrooms, Parmesan, Jalapenos, Bell Peppers, Tomatoes","Buffalo, Hot Honey"
13-38,2024-04-13,Brisket,Cheddar,"Garlic Bread, Cheesy Garlic Bread","Parmesan, Corn, Breadcrumbs",NA
13-41,2024-04-13,Brisket,Cheddar,NA,Corn,Buffalo
13-45,2024-04-13,Bacon,Cheddar,NA,"Parmesan, Breadcrumbs",Garlic Parmesan
13-44,2024-04-13,Brisket,Pepper Jack,NA,"Parmesan, Mushrooms, Jalapenos, Breadcrumbs",Garlic Parmesan
13-46,2024-04-13,"Brisket, Ham",Cheddar,NA,Breadcrumbs,Ranch
13-48,2024-04-13,NA,Cheddar,NA,NA,NA
13-50,2024-04-13,"Brisket, Grilled Chicken","Pepper Jack, Cheddar",NA,"Broccoli, Parmesan, Breadcrumbs, Tomatoes","Garlic Parmesan, Hot Honey"
13-52,2024-04-13,Brisket,Pepper Jack,NA,"Parmesan, Breadcrumbs",Garlic Parmesan
13-53,2024-04-13,NA,Alfredo,Cheesecake,NA,NA
13-55,2024-04-13,Brisket,Cheddar,NA,"Broccoli, Mushrooms, Tomatoes",BBQ
13-56,2024-04-13,"Ham, Pulled Pork","Pepper Jack, Melted Cheddar, Cheddar",Cheesy Garlic Bread,"Broccoli, Parmesan, Breadcrumbs","Pesto, Buffalo, Ranch, BBQ"
13-59,2024-04-13,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Broccoli, Parmesan, Jalapenos, Breadcrumbs","Garlic Parmesan, Hot Honey"
13-62,2024-04-13,"Brisket, Grilled Chicken","Pepper Jack, Alfredo",NA,"Parmesan, Breadcrumbs","Garlic Parmesan, Hot Honey"
13-64,2024-04-13,Pulled Pork,Pepper Jack,Garlic Bread,"Bell Peppers, Corn, Tomatoes",NA
13-66,2024-04-13,"Brisket, Grilled Chicken","Cheddar, Alfredo","Garlic Bread, Cheesy Garlic Bread","Broccoli, Parmesan, Corn, Breadcrumbs","Pesto, BBQ"
