order number,date,meat,cheese,sides,toppings,sauce
1-1,2024-08-01,"Pulled Pork, Ham","Alfredo, Pepper Jack",Garlic Bread,"Onions, Parmesan","Ranch, BBQ"
1-3,2024-08-01,Pulled Pork,Cheddar,NA,"Tomatoes, Corn, Onions",BBQ
1-5,2024-08-01,Brisket,Cheddar,Garlic Bread,"Breadcrumbs, Parmesan",BBQ
1-4,2024-08-01,Brisket,Cheddar,NA,Bell Peppers,BBQ
1-6,2024-08-01,Pulled Pork,MIX,NA,"Breadcrumbs, Jalapenos, Pineapple",Hot Honey
1-7,2024-08-01,Bacon,Cheddar,Cheesy Garlic Bread,Onions,NA
1-8,2024-08-01,Pulled Pork,"Cheddar Mac, Melted Cheddar",Cheesy Garlic Bread,Parmesan,BBQ
1-9,2024-08-01,Brisket,Pepper Jack,NA,"Tomatoes, Pineapple, Corn, Bell Peppers, Onions",Hot Honey
1-10,2024-08-01,Brisket,MIX,NA,"Jalapenos, Mushrooms, Breadcrumbs, Broccoli, Corn, Parmesan",BBQ
1-11,2024-08-01,Bacon,MIX,NA,"Breadcrumbs, Parmesan",Garlic Parmesan
1-12,2024-08-01,Brisket,Pepper Jack,NA,"Jalapenos, Onions",NA
1-14,2024-08-01,Brisket,"Cheddar Mac, Melted Cheddar",NA,"Mushrooms, Pineapple, Onions",NA
1-13,2024-08-01,Brisket,"Melted Parmesan, Pepper Jack Mac",NA,"Tomatoes, Parmesan, Jalapenos, Pineapple, Breadcrumbs, Bell Peppers, Onions","Hot Honey, BBQ"
1-15,2024-08-01,"Grilled Chicken, Bacon","Melted Cheddar, Cheddar",Cheesy Garlic Bread,Corn,Buffalo
1-16,2024-08-01,Pulled Pork,"Cheddar Mac, Melted Cheddar",NA,NA,BBQ
1-17,2024-08-01,"Grilled Chicken, Ham",Pepper Jack,NA,"Tomatoes, Onions, Jalapenos, Parmesan, Breadcrumbs, Bell Peppers, Mushrooms","Buffalo, Hot Honey"
1-18,2024-08-01,"Brisket, Bacon",MIX,Cheesy Garlic Bread,"Tomatoes, Parmesan, Jalapenos, Mushrooms, Breadcrumbs, Broccoli, Onions","Ranch, Hot Honey, BBQ"
1-20,2024-08-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Mushrooms, Parmesan, Breadcrumbs, Onions","Garlic Parmesan, Pesto"
1-21,2024-08-01,"Grilled Chicken, Brisket, Bacon",MIX,NA,"Jalapenos, Breadcrumbs, Broccoli, Corn, Parmesan","Ranch, Garlic Parmesan"
1-22,2024-08-01,Brisket,MIX,NA,"Parmesan, Breadcrumbs, Onions","Ranch, BBQ"
1-23,2024-08-01,Brisket,"MIX, Cheddar",NA,"Broccoli, Corn",Buffalo
1-24,2024-08-01,Brisket,MIX,"Any Bag Of Chips, Cheesecake","Breadcrumbs, Pineapple, Corn, Parmesan","Buffalo, Ranch, BBQ"
1-19,2024-08-01,NA,"Chicken Bacon Ranch (Cheddar, Chicken, Bacon, Ranch), Classic Mac (Cheddar, Breadcrumbs, Garlic Parmesan), Garden Mac (Cheddar, Broccoli, Tomatos, Ranch), Buffalo Chicken (Cheddar, Chicken, Onions, Buffalo), Texas BBQ (Pepper Jack, Brisket, Jalapenos, BBQ)",NA,NA,NA
1-25,2024-08-01,Grilled Chicken,Cheddar,NA,"Parmesan, Pineapple, Corn, Onions","Ranch, BBQ"
1-28,2024-08-01,Bacon,Cheddar,NA,"Breadcrumbs, Onions","Ranch, BBQ"
1-26,2024-08-01,Grilled Chicken,MIX,Cheesy Garlic Bread,"Pineapple, Parmesan","Hot Honey, BBQ"
1-29,2024-08-01,Brisket,Cheddar,NA,"Tomatoes, Parmesan, Onions, Breadcrumbs, Broccoli, Mushrooms",BBQ
1-30,2024-08-01,"Grilled Chicken, Bacon",Pepper Jack,NA,"Onions, Jalapenos, Breadcrumbs, Corn, Parmesan",Hot Honey
1-31,2024-08-01,Bacon,Cheddar,NA,Breadcrumbs,NA
1-33,2024-08-01,NA,NA,"Cheesy Garlic Bread, Cheesecake",NA,NA
1-32,2024-08-01,"Brisket, Bacon",MIX,NA,"Parmesan, Breadcrumbs, Pineapple, Onions","Buffalo, Ranch, Garlic Parmesan, Hot Honey"
1-34,2024-08-01,NA,NA,"Cheesy Garlic Bread, Cheesecake",NA,NA
1-35,2024-08-01,"Grilled Chicken, Pulled Pork, Bacon",Cheddar,NA,"Onions, Broccoli, Mushrooms",NA
1-38,2024-08-01,"Brisket, Bacon","Cheddar Mac, Melted Cheddar",Cheesy Garlic Bread,NA,Buffalo
1-39,2024-08-01,"Brisket, Bacon","MIX, Cheddar",NA,Breadcrumbs,NA
1-40,2024-08-01,NA,NA,Cheesecake,NA,NA
1-41,2024-08-01,Bacon,Cheddar,NA,"Breadcrumbs, Broccoli, Corn, Mushrooms",BBQ
1-36,2024-08-01,NA,MIX,NA,"Parmesan, Jalapenos, Breadcrumbs, Bell Peppers, Onions",Buffalo
1-43,2024-08-01,Pulled Pork,MIX,NA,"Bell Peppers, Tomatoes, Broccoli, Corn",Ranch
1-44,2024-08-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",NA
1-45,2024-08-01,Grilled Chicken,Pepper Jack,Cheesy Garlic Bread,"Parmesan, Jalapenos, Onions, Breadcrumbs, Bell Peppers, Mushrooms",BBQ
