order number,date,meat,cheese,sides,toppings,sauce
1-3,2024-07-01,Grilled Chicken,Alfredo,NA,"Onions, Broccoli, Jalapenos, Tomatoes",Pesto
1-1,2024-07-01,Grilled Chicken,Cheddar,Cheesecake,"Corn, Breadcrumbs, Tomatoes, Broccoli, Onions, Bell Peppers",BBQ
1-4,2024-07-01,"Pulled Pork, Brisket",Pepper Jack,NA,"Breadcrumbs, Onions, Jalapenos, Bell Peppers, Parmesan, Mushrooms",Ranch
1-5,2024-07-01,Brisket,Alfredo,Cheesy Garlic Bread,"Parmesan, Corn, Breadcrumbs",Hot Honey
1-6,2024-07-01,NA,Melted Cheddar,Cheesy Garlic Bread,Tomatoes,NA
1-8,2024-07-01,Grilled Chicken,Pepper Jack,Cheesy Garlic Bread,"Corn, Tomatoes, Broccoli, Onions, Jalapenos, Bell Peppers, Parmesan",Buffalo
1-7,2024-07-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Corn, Tomatoes, Broccoli, Bell Peppers, Parmesan, Mushrooms","Ranch, Garlic Parmesan"
1-10,2024-07-01,NA,Melted Pepper Jack,NA,"Corn, Tomatoes, Broccoli, Jalapenos, Bell Peppers, Parmesan, Pineapple",BBQ
1-9,2024-07-01,Grilled Chicken,Pepper Jack,Garlic Bread,"Corn, Tomatoes, Broccoli, Onions, Jalapenos, Bell Peppers, Parmesan",Buffalo
1-11,2024-07-01,Grilled Chicken,Alfredo,NA,"Onions, Parmesan",Ranch
1-14,2024-07-01,Grilled Chicken,Alfredo,NA,"Broccoli, Mushrooms",Buffalo
1-13,2024-07-01,"Grilled Chicken, Brisket","Cheddar, Pepper Jack",Cheesy Garlic Bread,Breadcrumbs,"Garlic Parmesan, Ranch, BBQ"
1-15,2024-07-01,Grilled Chicken,Alfredo,Cheesy Garlic Bread,"Parmesan, Broccoli, Mushrooms, Tomatoes","Pesto, Garlic Parmesan"
1-16,2024-07-01,Brisket,Cheddar,Cheesy Garlic Bread,"Parmesan, Corn, Broccoli",Garlic Parmesan
1-17,2024-07-01,Pulled Pork,Alfredo,NA,"Jalapenos, Parmesan, Bell Peppers, Breadcrumbs","Ranch, BBQ"
1-18,2024-07-01,NA,"Melted Cheddar, Pepper Jack",NA,"Parmesan, Breadcrumbs, Mushrooms",Garlic Parmesan
1-21,2024-07-01,Pulled Pork,Cheddar,Cheesy Garlic Bread,NA,"Ranch, BBQ"
1-20,2024-07-01,Pulled Pork,Cheddar,NA,NA,"Ranch, BBQ"
1-23,2024-07-01,Pulled Pork,Pepper Jack,NA,Breadcrumbs,Garlic Parmesan
1-22,2024-07-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Onions, Bell Peppers, Breadcrumbs, Jalapenos",Buffalo
1-24,2024-07-01,Bacon,Cheddar,NA,"Onions, Parmesan, Breadcrumbs, Mushrooms",Garlic Parmesan
1-25,2024-07-01,Bacon,"Melted Cheddar, Cheddar, Cheddar Mac",Cheesy Garlic Bread,"Parmesan, Breadcrumbs",NA
1-26,2024-07-01,"Bacon, Grilled Chicken, Brisket","Cheddar, Pepper Jack","Doritos, Side Mac, Cheesecake, Cheesy Garlic Bread","Corn, Breadcrumbs, Tomatoes, Onions, Jalapenos, Parmesan, Pineapple, Mushrooms","Garlic Parmesan, Buffalo, Pesto, Ranch"
1-27,2024-07-01,"Bacon, Grilled Chicken, Brisket","Cheddar, Alfredo",Cheesecake,Broccoli,"Buffalo, BBQ"
1-28,2024-07-01,"Bacon, Brisket",Cheddar,Garlic Bread,"Onions, Breadcrumbs",Buffalo
1-29,2024-07-01,NA,Pepper Jack,Side Mac,"Parmesan, Breadcrumbs",NA
1-30,2024-07-01,Brisket,Pepper Jack,NA,"Jalapenos, Corn",Buffalo
1-31,2024-07-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,NA,Buffalo
1-32,2024-07-01,Grilled Chicken,Pepper Jack,NA,"Tomatoes, Broccoli, Bell Peppers, Parmesan, Mushrooms","Pesto, Garlic Parmesan"
1-33,2024-07-01,NA,Alfredo,Cheesy Garlic Bread,"Tomatoes, Broccoli, Jalapenos, Pineapple, Mushrooms",Garlic Parmesan
1-34,2024-07-01,Brisket,Pepper Jack,NA,"Jalapenos, Bell Peppers",BBQ
1-35,2024-07-01,Brisket,Melted Pepper Jack,Cheetos,Jalapenos,BBQ
1-36,2024-07-01,Grilled Chicken,Melted Parmesan,NA,"Corn, Breadcrumbs, Tomatoes, Broccoli, Onions, Jalapenos, Bell Peppers, Parmesan, Pineapple, Mushrooms","Pesto, Garlic Parmesan"
1-38,2024-07-01,Brisket,Cheddar,Cheesy Garlic Bread,"Corn, Broccoli","Pesto, Garlic Parmesan"
1-37,2024-07-01,Grilled Chicken,Alfredo,Cheesy Garlic Bread,"Breadcrumbs, Broccoli, Onions, Jalapenos, Parmesan",Garlic Parmesan
1-39,2024-07-01,"Bacon, Pulled Pork",Cheddar,Doritos,"Onions, Parmesan",BBQ
1-40,2024-07-01,Brisket,Pepper Jack,Cheesy Garlic Bread,"Jalapenos, Parmesan, Tomatoes",Pesto
1-41,2024-07-01,"Bacon, Brisket","Melted Cheddar, Cheddar, Cheddar Mac",NA,"Corn, Breadcrumbs, Tomatoes, Onions, Parmesan, Mushrooms",BBQ
1-44,2024-07-01,Brisket,Cheddar,NA,NA,NA
1-43,2024-07-01,Grilled Chicken,Alfredo,Any Bag Of Chips,NA,NA
1-45,2024-07-01,Bacon,Pepper Jack,NA,"Onions, Breadcrumbs, Jalapenos, Mushrooms",Pesto
1-46,2024-07-01,NA,Pepper Jack,Cheesecake,"Corn, Breadcrumbs, Onions, Jalapenos, Bell Peppers, Parmesan","Garlic Parmesan, Hot Honey"
1-48,2024-07-01,Grilled Chicken,Cheddar,NA,"Parmesan, Broccoli, Breadcrumbs, Mushrooms",BBQ
1-49,2024-07-01,Grilled Chicken,Cheddar,NA,"Parmesan, Corn, Broccoli",Pesto
1-50,2024-07-01,"Bacon, Pulled Pork, Brisket",Cheddar,NA,"Parmesan, Corn","Buffalo, Ranch, Garlic Parmesan"
1-51,2024-07-01,"Bacon, Grilled Chicken",Alfredo,NA,"Parmesan, Broccoli, Breadcrumbs","Ranch, Garlic Parmesan"
1-52,2024-07-01,Grilled Chicken,Cheddar,Cheesecake,"Corn, Breadcrumbs, Broccoli, Parmesan, Mushrooms",NA
1-54,2024-07-01,Bacon,Pepper Jack,NA,"Breadcrumbs, Broccoli, Onions, Parmesan, Mushrooms","Pesto, Garlic Parmesan"
1-53,2024-07-01,"Bacon, Grilled Chicken",Cheddar,NA,"Jalapenos, Corn, Breadcrumbs, Parmesan",BBQ
1-56,2024-07-01,Grilled Chicken,Alfredo,NA,Mushrooms,BBQ
1-57,2024-07-01,Brisket,Melted Pepper Jack,NA,"Jalapenos, Bell Peppers, Breadcrumbs, Mushrooms","BBQ, Hot Honey"
1-55,2024-07-01,"Bacon, Grilled Chicken, Ham","Cheddar Mac, Melted Parmesan",Cheesy Garlic Bread,"Parmesan, Breadcrumbs",Garlic Parmesan
1-58,2024-07-01,"Bacon, Grilled Chicken",Cheddar,Garlic Bread,"Parmesan, Breadcrumbs",Garlic Parmesan
1-59,2024-07-01,NA,Cheddar,Cheesy Garlic Bread,"Jalapenos, Parmesan, Bell Peppers, Breadcrumbs","Garlic Parmesan, Hot Honey"
1-61,2024-07-01,Bacon,Cheddar,Cheesy Garlic Bread,Parmesan,NA
1-60,2024-07-01,Brisket,Cheddar,Cheesy Garlic Bread,Broccoli,NA
1-62,2024-07-01,Bacon,Cheddar,NA,"Corn, Onions, Jalapenos, Bell Peppers, Mushrooms",Hot Honey
1-64,2024-07-01,NA,Cheddar,NA,NA,Pesto
1-63,2024-07-01,Brisket,Cheddar,NA,"Parmesan, Corn, Breadcrumbs",Hot Honey
1-47,2024-07-01,NA,Cheddar,Cheesy Garlic Bread,"Corn, Breadcrumbs, Tomatoes, Broccoli, Bell Peppers",Hot Honey
1-66,2024-07-01,"Grilled Chicken, Pulled Pork",Cheddar,NA,"Corn, Broccoli, Onions, Jalapenos, Pineapple, Mushrooms","Buffalo, Ranch, BBQ"
1-67,2024-07-01,Brisket,Cheddar,NA,"Corn, Breadcrumbs, Onions, Jalapenos, Parmesan, Mushrooms","Garlic Parmesan, BBQ, Hot Honey"
1-68,2024-07-01,NA,Cheddar,NA,NA,NA
2-2,2024-07-02,Bacon,Alfredo,NA,"Corn, Breadcrumbs, Broccoli, Onions, Jalapenos, Bell Peppers, Parmesan, Pineapple, Mushrooms",Garlic Parmesan
2-3,2024-07-02,Ham,Alfredo,NA,"Corn, Tomatoes, Onions, Bell Peppers, Parmesan",Pesto
2-8,2024-07-02,Bacon,Pepper Jack,Lays Barbecue,"Corn, Tomatoes, Broccoli, Jalapenos, Bell Peppers, Mushrooms",Pesto
2-5,2024-07-02,Grilled Chicken,Alfredo,NA,"Onions, Parmesan, Broccoli, Mushrooms",Pesto
2-7,2024-07-02,Grilled Chicken,"Cheddar, Alfredo",NA,"Parmesan, Broccoli, Breadcrumbs","Pesto, Garlic Parmesan"
2-9,2024-07-02,Brisket,"Cheddar, Alfredo",Lays Classic,"Corn, Breadcrumbs, Onions, Bell Peppers, Parmesan, Pineapple, Mushrooms",BBQ
2-15,2024-07-02,Brisket,Cheddar,NA,"Corn, Breadcrumbs, Tomatoes, Broccoli, Onions, Bell Peppers, Parmesan","Garlic Parmesan, BBQ"
2-13,2024-07-02,Grilled Chicken,Cheddar,Any Bag Of Chips,"Bell Peppers, Breadcrumbs, Tomatoes","Buffalo, Garlic Parmesan"
2-12,2024-07-02,Grilled Chicken,Pepper Jack,NA,"Parmesan, Broccoli, Breadcrumbs",Garlic Parmesan
2-16,2024-07-02,Bacon,Cheddar,NA,"Parmesan, Corn, Bell Peppers, Breadcrumbs",Garlic Parmesan
2-14,2024-07-02,Brisket,Melted Pepper Jack,Side Mac,"Onions, Parmesan, Jalapenos",Garlic Parmesan
2-11,2024-07-02,Grilled Chicken,Cheddar,NA,Breadcrumbs,Buffalo
2-17,2024-07-02,Brisket,Pepper Jack,NA,"Parmesan, Corn, Breadcrumbs","Buffalo, Ranch, Garlic Parmesan"
2-18,2024-07-02,Brisket,Cheddar,NA,Breadcrumbs,Hot Honey
2-19,2024-07-02,Bacon,Cheddar,NA,Parmesan,NA
2-10,2024-07-02,"Grilled Chicken, Brisket",MIX,NA,"Corn, Broccoli, Breadcrumbs","Buffalo, Ranch, Garlic Parmesan, BBQ"
2-21,2024-07-02,Bacon,Cheddar,NA,"Onions, Parmesan, Tomatoes",Pesto
2-22,2024-07-02,"Bacon, Ham, Brisket","Cheddar, Pepper Jack",NA,"Corn, Breadcrumbs, Tomatoes, Broccoli, Jalapenos, Parmesan, Pineapple","Garlic Parmesan, BBQ"
2-24,2024-07-02,NA,Cheddar,NA,"Jalapenos, Parmesan, Breadcrumbs",Garlic Parmesan
2-25,2024-07-02,Grilled Chicken,Alfredo,NA,"Parmesan, Broccoli, Mushrooms",Pesto
2-27,2024-07-02,Pulled Pork,Pepper Jack,NA,"Corn, Breadcrumbs, Tomatoes, Onions, Jalapenos, Parmesan, Pineapple, Mushrooms",BBQ
2-26,2024-07-02,NA,MIX,NA,"Parmesan, Pineapple, Breadcrumbs",Garlic Parmesan
2-28,2024-07-02,Grilled Chicken,Cheddar,NA,"Parmesan, Breadcrumbs",Garlic Parmesan
2-29,2024-07-02,"Bacon, Brisket","Cheddar, Pepper Jack",NA,"Jalapenos, Parmesan, Pineapple",BBQ
2-31,2024-07-02,Bacon,Cheddar,NA,"Parmesan, Breadcrumbs, Mushrooms","Ranch, Garlic Parmesan, BBQ"
2-32,2024-07-02,"Bacon, Brisket",Cheddar,NA,"Jalapenos, Parmesan, Breadcrumbs",Garlic Parmesan
2-34,2024-07-02,Brisket,"Melted Cheddar, Pepper Jack",NA,"Breadcrumbs, Jalapenos, Onions, Parmesan, Mushrooms","Buffalo, Pesto"
2-35,2024-07-02,Brisket,Pepper Jack,Any Bag Of Chips,"Onions, Mushrooms, Tomatoes",Buffalo
2-36,2024-07-02,Brisket,Pepper Jack,NA,"Corn, Breadcrumbs, Tomatoes, Parmesan, Mushrooms",Garlic Parmesan
2-39,2024-07-02,"Bacon, Brisket",Cheddar,NA,"Jalapenos, Corn, Breadcrumbs, Parmesan",BBQ
2-38,2024-07-02,"Bacon, Brisket",Cheddar,NA,"Jalapenos, Corn, Breadcrumbs, Parmesan",BBQ
2-40,2024-07-02,Brisket,Cheddar,NA,"Corn, Tomatoes",BBQ
2-41,2024-07-02,"Bacon, Grilled Chicken, Brisket","Cheddar, Pepper Jack","Side Mac, Lays Classic","Parmesan, Broccoli, Tomatoes","Ranch, BBQ"
2-43,2024-07-02,Bacon,Cheddar,NA,Parmesan,BBQ
2-42,2024-07-02,Pulled Pork,Cheddar,NA,"Corn, Parmesan, Pineapple, Breadcrumbs",NA
