order number,date,meat,cheese,sides,toppings,sauce
1-3,2024-06-01,NA,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Corn, Parmesan","BBQ, Hot Honey, Garlic Parmesan"
1-6,2024-06-01,Brisket,Cheddar,NA,"Breadcrumbs, Onions, Bell Peppers",BBQ
1-5,2024-06-01,"Brisket, Grilled Chicken","Cheddar, Alfredo Mac, Melted Parmesan",NA,"Breadcrumbs, Mushrooms, Bell Peppers",Garlic Parmesan
1-7,2024-06-01,"Pulled Pork, Bacon, Brisket",Cheddar,NA,"Breadcrumbs, Onions, Bell Peppers","Pesto, BBQ, Garlic Parmesan"
1-8,2024-06-01,"Brisket, Grilled Chicken","Pepper Jack, Cheddar","Garlic Bread, Cheesy Garlic Bread",Parmesan,"Ranch, BBQ"
1-9,2024-06-01,Bacon,Melted Cheddar,NA,"Mushrooms, Onions, Bell Peppers",Hot Honey
1-10,2024-06-01,Brisket,Alfredo,NA,"Breadcrumbs, Bell Peppers, Broccoli, Pineapple, Onions","BBQ, Hot Honey"
1-11,2024-06-01,NA,NA,Cheesecake,NA,NA
1-15,2024-06-01,Brisket,"Cheddar, Melted Cheddar, Cheddar Mac",Garlic Bread,Parmesan,"Buffalo, Garlic Parmesan"
1-14,2024-06-01,"Brisket, Bacon","Cheddar, Melted Cheddar",NA,"Breadcrumbs, Parmesan","BBQ, Hot Honey"
1-16,2024-06-01,"Brisket, Grilled Chicken",Cheddar,NA,Onions,BBQ
1-18,2024-06-01,Grilled Chicken,Alfredo,Garlic Bread,Broccoli,Pesto
1-17,2024-06-01,NA,Cheddar,NA,Breadcrumbs,NA
1-19,2024-06-01,"Pulled Pork, Brisket, Bacon","Cheddar, Melted Cheddar, Alfredo, Cheddar Mac",Cheesy Garlic Bread,"Breadcrumbs, Parmesan","BBQ, Pesto, Garlic Parmesan"
1-21,2024-06-01,NA,Cheddar,Cheesy Garlic Bread,Parmesan,NA
1-20,2024-06-01,Grilled Chicken,Cheddar,Any Bag Of Chips,Breadcrumbs,Buffalo
1-24,2024-06-01,"Bacon, Grilled Chicken","Pepper Jack, Cheddar",Cheesy Garlic Bread,"Parmesan, Bell Peppers","Buffalo, Pesto"
1-25,2024-06-01,Pulled Pork,Cheddar,NA,"Breadcrumbs, Parmesan","BBQ, Hot Honey"
1-26,2024-06-01,Bacon,Alfredo,Cheesy Garlic Bread,"Breadcrumbs, Mushrooms, Bell Peppers","Buffalo, Ranch"
1-29,2024-06-01,"Brisket, Bacon, Grilled Chicken","Cheddar, Pepper Jack, Alfredo","Garlic Bread, Cheesecake, Cheesy Garlic Bread, Any Bag Of Chips","Breadcrumbs, Corn, Parmesan","Buffalo, Garlic Parmesan"
1-30,2024-06-01,NA,Alfredo,NA,"Breadcrumbs, Mushrooms, Parmesan",Garlic Parmesan
1-32,2024-06-01,Grilled Chicken,Cheddar,NA,"Parmesan, Onions",Ranch
1-33,2024-06-01,Ham,Alfredo,"Cheesy Garlic Bread, Cheesecake",NA,Garlic Parmesan
1-34,2024-06-01,Grilled Chicken,"Pepper Jack, Cheddar",Cheesy Garlic Bread,"Breadcrumbs, Parmesan","Buffalo, Garlic Parmesan"
1-35,2024-06-01,NA,Pepper Jack,NA,NA,NA
1-36,2024-06-01,"Bacon, Grilled Chicken",Pepper Jack,Cheesy Garlic Bread,"Breadcrumbs, Parmesan","Buffalo, Ranch"
1-38,2024-06-01,"Brisket, Bacon",Cheddar,NA,"Breadcrumbs, Bell Peppers, Onions, Corn, Parmesan","Hot Honey, Garlic Parmesan"
1-37,2024-06-01,"Brisket, Bacon, Grilled Chicken","Cheddar, Alfredo",Cheesecake,"Breadcrumbs, Parmesan",NA
1-39,2024-06-01,"Pulled Pork, Brisket","Alfredo Mac, Melted Parmesan",NA,"Mushrooms, Parmesan, Onions",BBQ
1-40,2024-06-01,"Pulled Pork, Brisket",Cheddar,NA,"Breadcrumbs, Parmesan, Bell Peppers",BBQ
1-41,2024-06-01,NA,Alfredo,NA,NA,NA
1-43,2024-06-01,"Brisket, Bacon","Cheddar, Alfredo",NA,"Breadcrumbs, Mushrooms, Parmesan, Bell Peppers","Pesto, Garlic Parmesan"
1-44,2024-06-01,"Bacon, Grilled Chicken","Alfredo Mac, Melted Parmesan",NA,NA,Garlic Parmesan
1-46,2024-06-01,"Brisket, Grilled Chicken",Pepper Jack,Garlic Bread,"Breadcrumbs, Bell Peppers, Mushrooms, Corn, Parmesan","Pesto, BBQ"
1-49,2024-06-01,"Brisket, Bacon",Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",Ranch
1-48,2024-06-01,"Bacon, Grilled Chicken",Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",Garlic Parmesan
1-50,2024-06-01,"Brisket, Bacon",Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan","Ranch, Hot Honey"
1-52,2024-06-01,NA,Cheddar,NA,"Breadcrumbs, Bell Peppers, Broccoli, Onions, Corn, Parmesan","Buffalo, Pesto, Hot Honey, Garlic Parmesan"
1-53,2024-06-01,NA,NA,"Garlic Bread, Cheesy Garlic Bread",NA,NA
1-55,2024-06-01,"Bacon, Grilled Chicken",Cheddar,NA,"Breadcrumbs, Broccoli",Ranch
1-54,2024-06-01,Brisket,Pepper Jack,NA,"Parmesan, Onions","BBQ, Hot Honey"
1-56,2024-06-01,"Bacon, Grilled Chicken",Cheddar,NA,Parmesan,Pesto
1-57,2024-06-01,Grilled Chicken,Alfredo,NA,Breadcrumbs,Ranch
1-58,2024-06-01,Brisket,Cheddar,NA,Corn,NA
1-59,2024-06-01,Bacon,Pepper Jack,NA,"Breadcrumbs, Bell Peppers",Hot Honey
1-60,2024-06-01,Grilled Chicken,"Cheddar, Alfredo",Garlic Bread,"Breadcrumbs, Corn, Parmesan, Broccoli",Ranch
1-61,2024-06-01,Pulled Pork,Cheddar,Cheesy Garlic Bread,"Bell Peppers, Broccoli, Onions, Mushrooms, Corn, Parmesan","BBQ, Garlic Parmesan"
1-62,2024-06-01,NA,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",NA
1-64,2024-06-01,Pulled Pork,Cheddar,NA,NA,BBQ
1-63,2024-06-01,"Pulled Pork, Grilled Chicken",Cheddar,NA,"Breadcrumbs, Parmesan, Onions","Buffalo, Hot Honey"
1-65,2024-06-01,"Brisket, Bacon","Cheddar, Melted Cheddar, Cheddar Mac",NA,"Corn, Parmesan","Ranch, Garlic Parmesan"
1-66,2024-06-01,Brisket,Cheddar,NA,"Breadcrumbs, Mushrooms, Onions",BBQ
1-67,2024-06-01,NA,Alfredo,"Cheesy Garlic Bread, Cheesecake","Mushrooms, Parmesan, Bell Peppers, Broccoli","Hot Honey, Garlic Parmesan, Buffalo, BBQ, Ranch, Pesto"
1-68,2024-06-01,"Bacon, Grilled Chicken","Cheddar, Alfredo","Garlic Bread, Cheesy Garlic Bread","Breadcrumbs, Parmesan",Ranch
1-70,2024-06-01,Bacon,Pepper Jack,NA,Mushrooms,Buffalo
