order number,date,meat,cheese,sides,toppings,sauce
1-3,2024-05-01,Brisket,Melted Cheddar,Cheesy Garlic Bread,"Mushrooms, Broccoli",Ranch
1-8,2024-05-01,Grilled Chicken,Alfredo,Any Bag Of Chips,"Onions, Bell Peppers, Jalapenos, Mushrooms, Parmesan","Ranch, Buffalo"
1-9,2024-05-01,Brisket,Cheddar,Cheesecake,"Breadcrumbs, Parmesan",BBQ
1-11,2024-05-01,NA,Pepper Jack,Garlic Bread,NA,NA
1-5,2024-05-01,Brisket,Alfredo,NA,"Tomatoes, Breadcrumbs, Parmesan","Pesto, Garlic Parmesan"
1-10,2024-05-01,"Grilled Chicken, Bacon",Cheddar,NA,"Breadcrumbs, Parmesan",NA
1-12,2024-05-01,Brisket,Alfredo,NA,"Onions, Bell Peppers, Tomatoes, Jalapenos, Mushrooms",BBQ
1-13,2024-05-01,"Grilled Chicken, Bacon",Cheddar,Garlic Bread,Parmesan,Garlic Parmesan
1-15,2024-05-01,Grilled Chicken,Pepper Jack,Cheesy Garlic Bread,"Bell Peppers, Onions, Tomatoes, Jalapenos, Corn, Parmesan","Ranch, Garlic Parmesan"
1-16,2024-05-01,Brisket,Alfredo,Cheesy Garlic Bread,"Onions, Parmesan",BBQ
1-18,2024-05-01,NA,Cheddar,Cheesy Garlic Bread,NA,BBQ
1-17,2024-05-01,Brisket,Cheddar,Cheesy Garlic Bread,"Corn, Onions","BBQ, Buffalo"
1-23,2024-05-01,NA,Cheddar,Cheesy Garlic Bread,NA,BBQ
1-20,2024-05-01,Brisket,Pepper Jack,NA,"Bell Peppers, Onions, Breadcrumbs, Jalapenos, Mushrooms, Corn, Parmesan","BBQ, Buffalo"
1-21,2024-05-01,Bacon,Alfredo,NA,"Corn, Breadcrumbs, Parmesan",Garlic Parmesan
1-22,2024-05-01,Grilled Chicken,Cheddar,NA,"Broccoli, Parmesan",Buffalo
1-19,2024-05-01,Pulled Pork,"Cheddar, Melted Pepper Jack",NA,"Onions, Breadcrumbs","BBQ, Garlic Parmesan"
1-26,2024-05-01,NA,Pepper Jack,NA,"Onions, Bell Peppers, Breadcrumbs, Broccoli, Jalapenos, Mushrooms, Corn","Buffalo, Hot Honey"
