order number,date,meat,cheese,sides,toppings,sauce
1-1,2024-10-01,NA,"Classic Mac (Cheddar, Breadcrumbs, Garlic Parmesan), Texas BBQ (Pepper Jack, Brisket, Jalapenos, BBQ), Garden Mac (Cheddar, Broccoli, Tomatos, Ranch), Chicken Alfredo (Alfredo, Chicken, Broccoli, Pesto), Buffalo Chicken (Cheddar, Chicken, Onions, Buffalo), Chicken Bacon Ranch (Cheddar, Chicken, Bacon, Ranch)",NA,NA,NA
1-3,2024-10-01,Brisket,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan, Mushrooms",BBQ
1-4,2024-10-01,Brisket,Cheddar,NA,Mushrooms,BBQ
1-6,2024-10-01,"Ham, Brisket, Grilled Chicken",Pepper Jack,"Cheesy Garlic Bread, Cheesecake","Parmesan, Bell Peppers, Breadcrumbs, Onions, Mushrooms",BBQ
1-7,2024-10-01,Bacon,Cheddar,Cheesy Garlic Bread,"Parmesan, Breadcrumbs",Garlic Parmesan
1-8,2024-10-01,"Brisket, Bacon",Pepper Jack,NA,"Tomatoes, Parmesan, Bell Peppers, Jalapenos, Breadcrumbs, Broccoli","Garlic Parmesan, Buffalo"
1-9,2024-10-01,"Grilled Chicken, Bacon",MIX,NA,Breadcrumbs,Hot Honey
1-10,2024-10-01,Brisket,Alfredo,Garlic Bread,Breadcrumbs,NA
1-11,2024-10-01,Brisket,MIX,Cheesy Garlic Bread,"Parmesan, Breadcrumbs",Ranch
1-12,2024-10-01,Bacon,MIX,NA,"Parmesan, Corn, Breadcrumbs, Onions, Broccoli",NA
1-13,2024-10-01,Grilled Chicken,Pepper Jack,NA,"Jalapenos, Onions, Mushrooms",Hot Honey
1-14,2024-10-01,"Brisket, Bacon",Cheddar,Cheesecake,"Breadcrumbs, Corn, Onions","Garlic Parmesan, Ranch"
1-17,2024-10-01,NA,Cheddar,Cheesy Garlic Bread,"Parmesan, Breadcrumbs",Garlic Parmesan
1-15,2024-10-01,Grilled Chicken,Pepper Jack,Cheesy Garlic Bread,"Jalapenos, Parmesan, Onions",Hot Honey
1-16,2024-10-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Parmesan, Breadcrumbs","Ranch, Buffalo"
1-18,2024-10-01,"Ham, Grilled Chicken",Cheddar,NA,"Parmesan, Breadcrumbs","Hot Honey, Ranch"
1-20,2024-10-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Mushrooms, Parmesan, Onions","Garlic Parmesan, Ranch"
1-19,2024-10-01,Brisket,Cheddar,Cheesy Garlic Bread,"Tomatoes, Mushrooms, Corn, Onions",Garlic Parmesan
1-21,2024-10-01,NA,Cheddar,NA,"Parmesan, Breadcrumbs",Garlic Parmesan
1-22,2024-10-01,Brisket,Cheddar,NA,Parmesan,BBQ
1-23,2024-10-01,NA,Alfredo,NA,"Breadcrumbs, Jalapenos, Parmesan, Mushrooms","Garlic Parmesan, Pesto"
1-24,2024-10-01,Bacon,Cheddar,NA,"Tomatoes, Parmesan, Bell Peppers, Onions, Breadcrumbs, Mushrooms",Buffalo
1-25,2024-10-01,Brisket,Alfredo,NA,"Parmesan, Breadcrumbs",Garlic Parmesan
1-26,2024-10-01,Grilled Chicken,Cheddar,NA,"Parmesan, Breadcrumbs","Garlic Parmesan, Ranch, Buffalo"
1-27,2024-10-01,Brisket,MIX,Garlic Bread,"Tomatoes, Pineapple, Corn, Mushrooms, Broccoli",BBQ
1-28,2024-10-01,"Brisket, Bacon",Cheddar,NA,Pineapple,"Hot Honey, BBQ, Garlic Parmesan"
1-29,2024-10-01,Brisket,Cheddar,Cheesecake,"Bell Peppers, Corn, Breadcrumbs, Onions, Broccoli",Hot Honey
1-30,2024-10-01,Brisket,Alfredo,NA,"Breadcrumbs, Corn, Onions",Pesto
1-32,2024-10-01,Grilled Chicken,MIX,NA,Broccoli,NA
1-33,2024-10-01,Ham,Pepper Jack,NA,"Tomatoes, Parmesan, Bell Peppers, Corn, Jalapenos, Broccoli","Garlic Parmesan, Buffalo"
1-35,2024-10-01,"Brisket, Bacon",Alfredo,NA,"Breadcrumbs, Jalapenos, Onions, Bell Peppers",Hot Honey
