order number,date,meat,cheese,sides,toppings,sauce
1-1,2024-09-01,Brisket,Cheddar,Cheesy Garlic Bread,"Broccoli, Breadcrumbs",Garlic Parmesan
1-4,2024-09-01,Bacon,Cheddar,Cheesy Garlic Bread,Corn,NA
1-3,2024-09-01,Grilled Chicken,Cheddar,NA,Corn,NA
1-6,2024-09-01,NA,Melted Cheddar,Any Bag Of Chips,Tomatoes,BBQ
1-7,2024-09-01,Grilled Chicken,MIX,Cheesy Garlic Bread,NA,Ranch
1-9,2024-09-01,Brisket,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",BBQ
1-11,2024-09-01,"Bacon, Pulled Pork, Brisket",MIX,NA,"Bell Peppers, Breadcrumbs","Garlic Parmesan, Buffalo, Ranch"
1-13,2024-09-01,NA,Cheddar,NA,"Onions, Parmesan, Bell Peppers, Mushrooms, Tomatoes",NA
1-14,2024-09-01,"Pulled Pork, Brisket",MIX,Large Chocolate Chunk Cookie,"Bell Peppers, Breadcrumbs, Parmesan",NA
1-15,2024-09-01,Brisket,"MIX, Melted Cheddar","Side Mac, Garlic Bread",Mushrooms,NA
1-16,2024-09-01,Brisket,Pepper Jack,Garlic Bread,"Parmesan, Breadcrumbs, Jalapenos","Garlic Parmesan, Ranch"
1-17,2024-09-01,"Brisket, Grilled Chicken","Alfredo, Pepper Jack",Cheesy Garlic Bread,"Broccoli, Onions, Parmesan, Breadcrumbs, Mushrooms, Bell Peppers, Jalapenos","Garlic Parmesan, Buffalo"
1-21,2024-09-01,Brisket,"Melted Cheddar, Alfredo Mac",NA,Breadcrumbs,Pesto
1-18,2024-09-01,Grilled Chicken,Cheddar,Garlic Bread,Parmesan,Garlic Parmesan
1-20,2024-09-01,Grilled Chicken,Alfredo,Cheesy Garlic Bread,Jalapenos,Buffalo
1-19,2024-09-01,Pulled Pork,"Cheddar Mac, Melted Cheddar","Cheesy Garlic Bread, Side Mac",Breadcrumbs,Hot Honey
1-24,2024-09-01,"Pulled Pork, Ham",Cheddar,Cheesy Garlic Bread,"Broccoli, Onions, Corn, Parmesan","Garlic Parmesan, Hot Honey"
1-22,2024-09-01,"Bacon, Grilled Chicken",Cheddar,"Cheesy Garlic Bread, Side Mac",NA,Buffalo
1-23,2024-09-01,"Bacon, Pulled Pork, Brisket","Pepper Jack Mac, MIX, Melted Parmesan, Cheddar",NA,"Mushrooms, Tomatoes, Breadcrumbs, Parmesan",Garlic Parmesan
1-25,2024-09-01,"Pulled Pork, Ham","Pepper Jack, Cheddar",NA,"Broccoli, Corn, Parmesan, Breadcrumbs, Tomatoes",BBQ
1-26,2024-09-01,"Bacon, Ham, Grilled Chicken","Alfredo, Melted Cheddar",NA,"Mushrooms, Broccoli, Parmesan",Garlic Parmesan
1-27,2024-09-01,Brisket,Cheddar,NA,"Breadcrumbs, Parmesan","BBQ, Buffalo"
